DeltaT,t_cement,E_cement,alpha_cement,E_rock,alpha_rock,E_steel,alpha_steel,a0_interface,k_contact,r_inner,t_steel,k_cement,y_cc_max_jump_mm,y_cr_max_jump_mm,y_all_max_jump_mm
-42.8128485,0.030568553,3894257417,1.25E-05,20506440987,1.29E-05,2.05457E+11,1.19E-05,1.80E-05,0.125315663,0.168956378,0.023414313,1.384186916,0.213438419,0.320857071,0.320857071
-25.65669985,0.037799671,9642252925,7.79E-06,39453946757,1.02E-05,1.99348E+11,1.08E-05,4.29E-05,0.312295844,0.19955646,0.021071783,0.674316827,0.250637375,0.216850347,0.250637375
-78.0213025,0.018966403,8446925926,1.45E-05,9472538097,8.11E-06,2.04075E+11,1.32E-05,1.35E-06,1.415064796,0.130393332,0.015696259,1.619722751,0.105400947,0.302263277,0.302263277
-72.20489727,0.044030216,4553115155,1.32E-05,15319826681,4.56E-06,1.96112E+11,1.04E-05,6.46E-05,0.195131043,0.187086179,0.017044644,0.575418878,0.221855065,0.324160297,0.324160297
-31.50042785,0.023790613,15001452470,8.45E-06,46742083804,1.15E-05,2.01073E+11,1.37E-05,2.05E-06,2.271667356,0.142924576,0.019781126,1.912817211,0.189549655,0.201578958,0.201578958
-36.96896181,0.056335691,5910027068,1.12E-05,24546841458,8.78E-06,1.94982E+11,1.25E-05,4.83E-06,0.800513614,0.113954346,0.022326192,0.983695553,0.177314329,0.21545473,0.21545473
-59.32602789,0.036799207,11461871271,1.05E-05,8522411150,7.26E-06,2.09708E+11,1.14E-05,1.53E-05,0.553669398,0.156510724,0.014498983,1.106955416,0.185852703,0.248026173,0.248026173
-64.97335399,0.042066462,5300962347,8.58E-06,18926992873,7.75E-06,1.97166E+11,1.02E-05,9.38E-05,1.504210719,0.150281685,0.012736425,1.786041075,0.156175732,0.214450537,0.214450537
-38.82212197,0.017613694,13398627857,1.39E-05,6577232357,1.02E-05,2.01892E+11,1.39E-05,2.95E-06,0.375162499,0.120183339,0.024437682,0.514228021,0.158802558,0.246499165,0.246499165
-29.66241814,0.052965499,4151491189,1.06E-05,11929443793,1.20E-05,1.93303E+11,1.29E-05,3.94E-06,0.133218878,0.149196294,0.02045825,1.079407261,0.241925976,0.239693323,0.241925976
-66.54339347,0.026403339,17831819731,1.19E-05,36408911969,6.03E-06,2.08264E+11,1.10E-05,1.24E-05,4.235556617,0.180814415,0.016716849,0.841630369,0.16861649,0.311284006,0.311284006
-76.16838686,0.057787284,10702901281,1.24E-05,58848490093,6.34E-06,1.91552E+11,1.24E-05,9.16E-06,0.588585094,0.136665096,0.018067615,1.194617393,0.203215183,0.280025929,0.280025929
-20.01004476,0.032631288,7194222741,9.17E-06,14141839897,9.40E-06,2.06278E+11,1.15E-05,2.91E-05,0.961602681,0.193284743,0.019163623,0.766486491,0.232683395,0.25040501,0.25040501
-48.47456554,0.048294306,23802910738,1.44E-05,7868440006,1.11E-05,1.97667E+11,1.07E-05,3.87E-05,2.414787147,0.162727385,0.023347178,1.45949217,0.156773359,0.366475332,0.366475332
-55.34846207,0.022435201,3261762083,7.18E-06,30908681592,4.62E-06,2.02628E+11,1.33E-05,1.23E-06,0.234410955,0.107627513,0.013885052,0.634159216,0.176278221,0.111017678,0.176278221
-54.8426093,0.040567836,22118397895,1.38E-05,43619294569,7.19E-06,2.00249E+11,1.32E-05,3.62E-06,2.744889779,0.172732399,0.022441058,1.075036698,0.228125545,0.365415019,0.365415019
-48.83296119,0.016114981,3030856261,8.51E-06,10277486254,8.56E-06,1.95054E+11,1.09E-05,1.15E-05,0.262398919,0.103567738,0.014841876,0.85658572,0.111527775,0.133718919,0.133718919
-20.57346847,0.05427817,10111334475,1.18E-05,5815425634,1.14E-05,2.08969E+11,1.19E-05,8.62E-05,0.658859136,0.127917797,0.017158321,1.75966546,0.162261753,0.260292799,0.260292799
-75.75036034,0.027715925,6796751236,1.05E-05,22411578089,4.34E-06,1.93852E+11,1.20E-05,2.74E-06,1.093056264,0.195477233,0.020123621,0.517722776,0.252928474,0.279411487,0.279411487
-66.15478676,0.059275436,4323076220,9.24E-06,25542860335,8.03E-06,2.05885E+11,1.14E-05,3.21E-05,0.149588202,0.140365095,0.021161165,1.465407348,0.20976629,0.217040873,0.217040873
